Year,Units,Zeitreihe,Value
2010,2010 = 100,Gesamtrohstoffproduktivität,100.0
2011,2010 = 100,Gesamtrohstoffproduktivität,98.0
2012,2010 = 100,Gesamtrohstoffproduktivität,102.0
2013,2010 = 100,Gesamtrohstoffproduktivität,102.0
2014,2010 = 100,Gesamtrohstoffproduktivität,103.0
2015,2010 = 100,Gesamtrohstoffproduktivität,107.0
2016,2010 = 100,Gesamtrohstoffproduktivität,106.0
2017,2010 = 100,Gesamtrohstoffproduktivität,109.0
2018,2010 = 100,Gesamtrohstoffproduktivität,110.0
2019,2010 = 100,Gesamtrohstoffproduktivität,113.0
2020,2010 = 100,Gesamtrohstoffproduktivität,112.0
2021,2010 = 100,Gesamtrohstoffproduktivität,115.0
2030,2010 = 100,Gesamtrohstoffproduktivität,
2010,2010 = 100,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",100.0
2011,2010 = 100,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",107.0
2012,2010 = 100,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",103.0
2013,2010 = 100,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",104.0
2014,2010 = 100,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",106.0
2015,2010 = 100,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",105.0
2016,2010 = 100,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",109.0
2017,2010 = 100,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",109.0
2018,2010 = 100,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",111.0
2019,2010 = 100,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",109.0
2020,2010 = 100,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",105.0
2021,2010 = 100,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",107.0
2030,2010 = 100,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",
2010,2010 = 100,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",100.0
2011,2010 = 100,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",105.0
2012,2010 = 100,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",105.0
2013,2010 = 100,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",106.0
2014,2010 = 100,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",109.0
2015,2010 = 100,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",112.0
2016,2010 = 100,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",115.0
2017,2010 = 100,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",119.0
2018,2010 = 100,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",121.0
2019,2010 = 100,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",124.0
2020,2010 = 100,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",117.0
