Year,Units,title,Value
2005,2005 = 100,direct co2 emissions and co2 content of consumer goods,100.0
2006,2005 = 100,direct co2 emissions and co2 content of consumer goods,98.53495873482959
2007,2005 = 100,direct co2 emissions and co2 content of consumer goods,96.19996549269922
2008,2005 = 100,direct co2 emissions and co2 content of consumer goods,102.48904801139078
2009,2005 = 100,direct co2 emissions and co2 content of consumer goods,101.75212971154731
2010,2005 = 100,direct co2 emissions and co2 content of consumer goods,105.13620654045619
2011,2005 = 100,direct co2 emissions and co2 content of consumer goods,102.34193585167748
2012,2005 = 100,direct co2 emissions and co2 content of consumer goods,102.14223188342272
2013,2005 = 100,direct co2 emissions and co2 content of consumer goods,103.31603596284543
2014,2005 = 100,direct co2 emissions and co2 content of consumer goods,97.38535078845031
2015,2005 = 100,direct co2 emissions and co2 content of consumer goods,98.39921955619911
2016,2005 = 100,direct co2 emissions and co2 content of consumer goods,98.04974719282569
2005,2005 = 100,energy content of consumer goods,100.0
2006,2005 = 100,energy content of consumer goods,98.01425009350899
2007,2005 = 100,energy content of consumer goods,93.25117270283383
2008,2005 = 100,energy content of consumer goods,98.84338490582878
2009,2005 = 100,energy content of consumer goods,98.46420817893964
2010,2005 = 100,energy content of consumer goods,101.86032389642078
2011,2005 = 100,energy content of consumer goods,97.53207920644502
2012,2005 = 100,energy content of consumer goods,96.80382906838129
2013,2005 = 100,energy content of consumer goods,98.27749413001463
2014,2005 = 100,energy content of consumer goods,91.71926142466138
2015,2005 = 100,energy content of consumer goods,93.60164657710348
2016,2005 = 100,energy content of consumer goods,93.52801027674253
2005,2005 = 100,direct energy consumption,39.96568858485362
2006,2005 = 100,direct energy consumption,38.841561628427826
2007,2005 = 100,direct energy consumption,37.39320941912916
2008,2005 = 100,direct energy consumption,38.38364415199395
2009,2005 = 100,direct energy consumption,38.62765355164432
2010,2005 = 100,direct energy consumption,41.13387188774005
2011,2005 = 100,direct energy consumption,37.355414847278105
2012,2005 = 100,direct energy consumption,37.68576580178605
2013,2005 = 100,direct energy consumption,39.732074566217804
2014,2005 = 100,direct energy consumption,35.4122420851449
2015,2005 = 100,direct energy consumption,37.36430972786778
2016,2005 = 100,direct energy consumption,38.41586574110432
